"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"6/27/2024","6/27/2024","6/27/2024","","External debit card transfer - withdrawal fee","DCF","","","($35.00)"
"6/27/2024","6/27/2024","6/27/2024","","External debit card transfer - account ending in 8441","DCF","","","($1,965.00)"
"6/26/2024","6/26/2024","6/26/2024","","External debit card transfer - account ending in 8441","DCF","","","($183.38)"
"6/26/2024","6/26/2024","6/26/2024","","External debit card transfer - withdrawal fee","DCF","","","($3.27)"
"6/26/2024","6/26/2024","6/27/2024","SPY","SPY 6/26/2024 Put $543.00","STC","4","$0.73","$291.86"
"6/26/2024","6/26/2024","6/27/2024","SPY","SPY 6/26/2024 Put $543.00","STC","4","$0.73","$291.86"
"6/26/2024","6/26/2024","6/27/2024","SPY","SPY 6/26/2024 Put $543.00","STC","10","$0.81","$809.64"
"6/26/2024","6/26/2024","6/27/2024","SPY","SPY 6/26/2024 Put $543.00","STC","17","$0.84","$1,427.40"
"6/26/2024","6/26/2024","6/27/2024","SPY","SPY 6/26/2024 Put $543.00","BTO","20","$0.42","($840.60)"
"6/26/2024","6/26/2024","6/27/2024","SPY","SPY 6/26/2024 Put $543.00","BTO","7","$0.51","($357.21)"
"6/26/2024","6/26/2024","6/27/2024","SPY","SPY 6/26/2024 Put $543.00","BTO","8","$0.51","($408.24)"
"6/26/2024","6/26/2024","6/27/2024","SMCI","SMCI 6/28/2024 Call $900.00","STC","1","$6.50","$649.94"
"6/25/2024","6/25/2024","6/26/2024","SMCI","SMCI 6/28/2024 Call $900.00","STC","1","$8.80","$879.93"
"6/25/2024","6/25/2024","6/26/2024","NVDA","NVDA 6/28/2024 Call $125.00","STC","1","$3.05","$304.95"
"6/25/2024","6/25/2024","6/26/2024","NVDA","NVDA 6/28/2024 Call $125.00","STC","1","$2.69","$268.95"
"6/25/2024","6/25/2024","6/26/2024","NVDA","NVDA 6/28/2024 Call $125.00","STC","1","$2.55","$254.95"
"6/25/2024","6/25/2024","6/26/2024","NVDA","NVDA 6/28/2024 Call $125.00","BTO","1","$2.09","($209.03)"
"6/25/2024","6/25/2024","6/26/2024","NVDA","NVDA 6/28/2024 Call $125.00","BTO","1","$2.09","($209.03)"
"6/25/2024","6/25/2024","6/26/2024","NVDA","NVDA 6/28/2024 Call $125.00","BTO","1","$2.09","($209.03)"
"6/25/2024","6/25/2024","6/26/2024","SMCI","SMCI 6/28/2024 Call $900.00","BTO","1","$9.80","($980.03)"
"6/24/2024","6/24/2024","6/25/2024","SPY","SPY 6/24/2024 Call $545.00","STC","1","$2.02","$201.95"
"6/24/2024","6/24/2024","6/25/2024","SPY","SPY 6/24/2024 Call $545.00","STC","1","$1.71","$170.95"
"6/24/2024","6/24/2024","6/25/2024","SPY","SPY 6/24/2024 Call $545.00","STC","1","$1.61","$160.95"
"6/24/2024","6/24/2024","6/25/2024","SPY","SPY 6/24/2024 Call $545.00","BTO","3","$0.78","($234.09)"
"6/24/2024","6/24/2024","6/25/2024","SMCI","SMCI 6/28/2024 Call $900.00","BTO","1","$26.00","($2,600.03)"
"6/24/2024","6/24/2024","6/25/2024","SMCI","SMCI 6/28/2024 Call $950.00","STC","1","$11.50","$1,149.92"
"6/24/2024","6/24/2024","6/25/2024","SMCI","SMCI 6/28/2024 Call $950.00","BTO","1","$14.50","($1,450.03)"
"6/21/2024","6/21/2024","6/24/2024","NVDA","NVDA 6/21/2024 Call $128.00","STC","1","$2.00","$199.95"
"6/21/2024","6/21/2024","6/24/2024","NVDA","NVDA 6/21/2024 Call $128.00","STC","2","$2.55","$509.91"
"6/21/2024","6/21/2024","6/24/2024","NVDA","NVDA 6/21/2024 Call $128.00","STC","3","$2.19","$656.88"
"6/21/2024","6/21/2024","6/24/2024","NVDA","NVDA 6/21/2024 Call $128.00","STC","6","$1.95","$1,169.76"
"6/21/2024","6/21/2024","6/24/2024","SMCI","SMCI 6/21/2024 Put $870.00","STC","2","$2.30","$459.91"
"6/21/2024","6/21/2024","6/24/2024","NVDA","NVDA 6/21/2024 Call $128.00","BTO","12","$0.91","($1,092.36)"
"6/21/2024","6/21/2024","6/24/2024","AMZN","AMZN 6/21/2024 Call $190.00","STC","19","$0.13","$246.37"
"6/21/2024","6/21/2024","6/24/2024","AMZN","AMZN 6/21/2024 Call $190.00","STC","21","$0.13","$272.30"
"6/21/2024","6/21/2024","6/24/2024","SMCI","SMCI 6/21/2024 Put $870.00","BTO","2","$10.90","($2,180.06)"
"6/21/2024","6/21/2024","6/24/2024","AMZN","AMZN 6/21/2024 Call $190.00","BTO","1","$0.25","($25.03)"
"6/21/2024","6/21/2024","6/24/2024","AMZN","AMZN 6/21/2024 Call $190.00","BTO","38","$0.25","($951.14)"
"6/21/2024","6/21/2024","6/24/2024","AMZN","AMZN 6/21/2024 Call $190.00","BTO","1","$0.25","($25.03)"
"6/21/2024","6/21/2024","6/24/2024","SMCI","SMCI 6/21/2024 Call $910.00","STC","1","$7.50","$749.93"
"6/21/2024","6/21/2024","6/24/2024","SMCI","SMCI 6/21/2024 Call $910.00","BTO","1","$13.00","($1,300.03)"
"6/20/2024","6/20/2024","6/20/2024","","External debit card transfer - withdrawal fee","DCF","","","($27.97)"
"6/20/2024","6/20/2024","6/20/2024","","External debit card transfer - account ending in 8441","DCF","","","($1,570.03)"
"6/20/2024","6/20/2024","6/21/2024","SMCI","SMCI 6/21/2024 Call $950.00","STC","1","$56.00","$5,599.80"
"6/18/2024","6/18/2024","6/20/2024","SPY","SPY 6/18/2024 Put $547.00","STC","8","$0.48","$383.72"
"6/18/2024","6/18/2024","6/20/2024","SMCI","SMCI 6/21/2024 Put $875.00","STC","1","$12.00","$1,199.92"
"6/18/2024","6/18/2024","6/20/2024","SMCI","SMCI 6/21/2024 Call $950.00","BTO","1","$17.75","($1,775.03)"
"6/18/2024","6/18/2024","6/20/2024","SPY","SPY 6/18/2024 Put $547.00","BTO","8","$0.82","($656.24)"
"6/18/2024","6/18/2024","6/20/2024","SMCI","SMCI 6/21/2024 Put $875.00","BTO","1","$19.50","($1,950.03)"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Put $543.00","STC","7","$0.26","$181.76"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Put $543.00","STC","5","$0.26","$129.83"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Put $543.00","STC","2","$0.26","$51.92"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Put $543.00","STC","1","$0.26","$25.95"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Put $543.00","BTO","1","$0.37","($37.03)"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Put $543.00","BTO","1","$0.46","($46.03)"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Put $543.00","BTO","13","$0.58","($754.39)"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Call $544.00","STC","1","$0.40","$39.95"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Call $544.00","STC","4","$0.40","$159.86"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Call $544.00","STC","1","$0.40","$39.95"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Call $544.00","STC","4","$0.40","$159.86"
"6/17/2024","6/17/2024","6/18/2024","TSLA","TSLA 6/21/2024 Call $190.00","STC","2","$2.07","$413.91"
"6/17/2024","6/17/2024","6/18/2024","AAPL","AAPL 6/21/2024 Call $220.00","STC","2","$1.49","$297.92"
"6/17/2024","6/17/2024","6/18/2024","AAPL","AAPL 6/21/2024 Call $220.00","STC","1","$1.49","$148.95"
"6/17/2024","6/17/2024","6/18/2024","AAPL","AAPL 6/21/2024 Call $220.00","BTO","3","$1.64","($492.09)"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Call $544.00","BTO","10","$0.49","($490.30)"
"6/17/2024","6/17/2024","6/18/2024","AAPL","AAPL 6/21/2024 Call $220.00","STC","3","$1.49","$446.88"
"6/17/2024","6/17/2024","6/18/2024","AAPL","AAPL 6/21/2024 Call $220.00","BTO","3","$1.59","($477.09)"
"6/17/2024","6/17/2024","6/18/2024","TSLA","TSLA 6/21/2024 Call $190.00","BTO","2","$2.19","($438.06)"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Call $543.00","STC","12","$0.67","$803.58"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Call $543.00","STC","13","$0.68","$883.54"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Call $543.00","BTO","6","$0.55","($330.18)"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Call $543.00","BTO","19","$0.60","($1,140.57)"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Put $542.00","STC","10","$0.61","$609.65"
"6/17/2024","6/17/2024","6/18/2024","SPY","SPY 6/17/2024 Put $542.00","BTO","10","$0.73","($730.30)"
"6/14/2024","6/14/2024","6/17/2024","SMCI","SMCI 6/14/2024 Put $850.00","STC","1","$10.20","$1,019.93"
"6/14/2024","6/14/2024","6/17/2024","SMCI","SMCI 6/14/2024 Put $850.00","STC","1","$10.10","$1,009.93"
"6/14/2024","6/14/2024","6/17/2024","SMCI","SMCI 6/14/2024 Put $850.00","BTO","2","$6.60","($1,320.06)"
"6/14/2024","6/14/2024","6/17/2024","SMCI","SMCI 6/14/2024 Call $870.00","STC","1","$6.50","$649.94"
"6/14/2024","6/14/2024","6/17/2024","SMCI","SMCI 6/14/2024 Call $870.00","BTO","1","$9.40","($940.03)"
"6/14/2024","6/14/2024","6/17/2024","SPY","SPY 6/14/2024 Call $541.00","STC","7","$1.06","$741.74"
"6/14/2024","6/14/2024","6/17/2024","SPY","SPY 6/14/2024 Call $541.00","STC","8","$1.11","$887.71"
"6/14/2024","6/14/2024","6/17/2024","SPY","SPY 6/14/2024 Call $541.00","BTO","7","$0.90","($630.21)"
"6/14/2024","6/14/2024","6/17/2024","SPY","SPY 6/14/2024 Call $541.00","BTO","8","$0.90","($720.24)"
"6/13/2024","6/13/2024","6/14/2024","SMCI","SMCI 6/14/2024 Call $885.00","STC","1","$18.50","$1,849.90"
"6/13/2024","6/13/2024","6/14/2024","SPY","SPY 6/13/2024 Put $540.00","STC","3","$0.19","$56.89"
"6/13/2024","6/13/2024","6/14/2024","SMCI","SMCI 6/14/2024 Call $885.00","BTO","1","$12.80","($1,280.03)"
"6/13/2024","6/13/2024","6/14/2024","SMCI","SMCI 6/14/2024 Call $815.00","STC","1","$21.00","$2,099.90"
"6/13/2024","6/13/2024","6/14/2024","SPY","SPY 6/13/2024 Put $540.00","STC","4","$0.85","$339.86"
"6/13/2024","6/13/2024","6/14/2024","SMCI","SMCI 6/14/2024 Call $815.00","BTO","1","$14.20","($1,420.03)"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Put $540.00","STC","8","$1.26","$1,007.71"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Call $545.00","STC","7","$0.47","$328.76"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Call $545.00","STC","1","$0.47","$46.95"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Call $545.00","STC","5","$0.47","$234.83"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Put $540.00","BTO","15","$0.80","($1,200.45)"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Call $545.00","BTO","10","$0.92","($920.30)"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Put $535.00","STC","11","$0.15","$164.63"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Put $535.00","STC","2","$0.15","$29.92"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Put $535.00","STC","1","$0.15","$14.95"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Put $535.00","STC","6","$0.15","$89.79"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Put $535.00","BTO","20","$0.29","($580.60)"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/13/2024 Call $545.00","BTO","3","$0.81","($243.09)"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/12/2024 Call $536.00","STC","1","$6.60","$659.94"
"6/12/2024","6/12/2024","6/13/2024","GME","GameStop
CUSIP: 36467W109","Sell","50","$28.40","$1,419.97"
"6/12/2024","6/12/2024","6/13/2024","SPY","SPY 6/12/2024 Call $536.00","STC","1","$5.56","$555.94"
"6/11/2024","6/11/2024","6/12/2024","SPY","SPY 6/12/2024 Call $536.00","STC","1","$3.02","$301.95"
"6/11/2024","6/11/2024","6/12/2024","SPY","SPY 6/12/2024 Call $536.00","STC","2","$2.97","$593.91"
"6/11/2024","6/11/2024","6/12/2024","SPY","SPY 6/12/2024 Call $536.00","BTO","5","$1.96","($980.15)"
"6/11/2024","6/11/2024","6/12/2024","SPY","SPY 6/11/2024 Put $531.00","STC","5","$0.21","$104.83"
"6/11/2024","6/11/2024","6/12/2024","SPY","SPY 6/11/2024 Put $531.00","STC","2","$0.21","$41.92"
"6/11/2024","6/11/2024","6/12/2024","SPY","SPY 6/11/2024 Put $531.00","STC","3","$0.21","$62.89"
"6/11/2024","6/11/2024","6/12/2024","GME","GameStop
CUSIP: 36467W109","Buy","50","$25.70","($1,285.13)"
"6/11/2024","6/11/2024","6/12/2024","SPY","SPY 6/11/2024 Put $531.00","BTO","10","$0.49","($490.30)"
"6/11/2024","6/11/2024","6/12/2024","SPY","SPY 6/11/2024 Put $534.00","STC","4","$1.94","$775.84"
"6/11/2024","6/11/2024","6/12/2024","SPY","SPY 6/11/2024 Put $534.00","STC","3","$2.08","$623.88"
"6/11/2024","6/11/2024","6/12/2024","GME","GameStop
CUSIP: 36467W109","Sell","18","$23.18","$417.24"
"6/11/2024","6/11/2024","6/12/2024","SPY","SPY 6/11/2024 Put $534.00","STC","7","$1.10","$769.74"
"6/10/2024","6/10/2024","6/11/2024","GME","GameStop
CUSIP: 36467W109","Buy","18","$24.93","($448.73)"
"6/10/2024","6/10/2024","6/11/2024","SPY","SPY 6/10/2024 Call $535.00","STC","10","$0.44","$439.65"
"6/10/2024","6/10/2024","6/11/2024","SPY","SPY 6/10/2024 Call $535.00","BTO","10","$0.49","($490.30)"
"6/10/2024","6/10/2024","6/11/2024","TUPBQ","TUPPERWARE BRANDS
CUSIP: 899896104","Sell","3","$1.54","$4.64"
"6/10/2024","6/10/2024","6/11/2024","SPY","SPY 6/10/2024 Call $536.00","STC","30","$0.12","$359.00"
"6/10/2024","6/10/2024","6/11/2024","SPY","SPY 6/10/2024 Call $536.00","STC","10","$0.12","$119.66"
"6/10/2024","6/10/2024","6/11/2024","SPY","SPY 6/11/2024 Put $534.00","BTO","4","$0.75","($300.12)"
"6/10/2024","6/10/2024","6/11/2024","SPY","SPY 6/10/2024 Call $536.00","BTO","6","$0.20","($120.18)"
"6/10/2024","6/10/2024","6/11/2024","SPY","SPY 6/10/2024 Call $536.00","BTO","30","$0.20","($600.90)"
"6/10/2024","6/10/2024","6/11/2024","SPY","SPY 6/10/2024 Call $536.00","BTO","1","$0.20","($20.03)"
"6/10/2024","6/10/2024","6/11/2024","SPY","SPY 6/10/2024 Call $536.00","BTO","1","$0.20","($20.03)"
"6/10/2024","6/10/2024","6/11/2024","SPY","SPY 6/10/2024 Call $536.00","BTO","2","$0.20","($40.06)"
"6/10/2024","6/10/2024","6/11/2024","SPY","SPY 6/11/2024 Put $534.00","BTO","10","$0.93","($930.30)"
"6/10/2024","6/10/2024","6/10/2024","","External debit card transfer - account ending in 8441","DCF","","","$2,074.00"
"6/6/2024","6/6/2024","6/7/2024","","ACH Deposit","ACH","","","$25.00"
"6/5/2024","6/5/2024","6/5/2024","","Gold Subscription Fee","GOLD","","","($5.00)"
"5/14/2024","5/14/2024","5/16/2024","TUPBQ","TUPPERWARE BRANDS
CUSIP: 899896104","Buy","3","$1.96","($5.87)"
"5/6/2024","5/6/2024","5/6/2024","","External debit card transfer - account ending in 8441","DCF","","","$10.00"
"5/6/2024","5/6/2024","5/6/2024","","Gold Subscription Fee","GOLD","","","($5.00)"
"4/30/2024","4/30/2024","4/30/2024","","Interest Payment","INT","","","$0.11"
"4/26/2024","4/26/2024","4/29/2024","ACB","Option Expiration for ACB 4/26/2024 Call $9.00","OEXP","1S","",""
"4/24/2024","4/24/2024","4/24/2024","","Instant bank transfer - account ending in 7929","RTP","","","($98.25)"
"4/24/2024","4/24/2024","4/24/2024","","Instant bank transfer - withdrawal fee","RTP","","","($1.75)"
"4/23/2024","4/23/2024","4/24/2024","ACB","ACB 4/26/2024 Call $9.00","BTO","1","$0.09","($9.03)"
"4/22/2024","4/22/2024","4/24/2024","SMFL","SMART FOR LIFE
CUSIP: 83204U608","Sell","25","$3.88","$97.00"
"4/22/2024","4/22/2024","4/24/2024","SMFL","SMART FOR LIFE
CUSIP: 83204U608","Buy","25","$4.09","($102.25)"
"4/19/2024","4/19/2024","4/22/2024","SPY","SPY 4/19/2024 Put $493.00","STC","2","$0.22","$43.92"
"4/19/2024","4/19/2024","4/22/2024","SPY","SPY 4/19/2024 Call $501.00","STC","1","$0.61","$60.95"
"4/19/2024","4/19/2024","4/22/2024","SPY","SPY 4/19/2024 Put $493.00","BTO","2","$0.30","($60.06)"
"4/19/2024","4/19/2024","4/22/2024","SPY","SPY 4/19/2024 Call $501.00","BTO","1","$0.76","($76.03)"
"4/18/2024","4/18/2024","4/19/2024","SPY","SPY 4/18/2024 Put $500.00","STC","1","$0.78","$77.95"
"4/18/2024","4/18/2024","4/19/2024","SPY","SPY 4/18/2024 Put $500.00","STC","1","$0.62","$61.95"
"4/18/2024","4/18/2024","4/19/2024","SPY","SPY 4/18/2024 Put $500.00","BTO","1","$0.40","($40.03)"
"4/18/2024","4/18/2024","4/19/2024","SPY","SPY 4/18/2024 Put $500.00","BTO","1","$0.40","($40.03)"
"4/16/2024","4/16/2024","4/18/2024","CISS","C3is Inc
CUSIP: Y18284201","Sell","55","$1.49","$81.94"
"4/16/2024","4/16/2024","4/18/2024","CISS","C3is Inc
CUSIP: Y18284201","Buy","55","$1.72","($94.56)"
"4/16/2024","4/16/2024","4/17/2024","","ACH Deposit","ACH","","","$100.00"
"4/1/2024","4/1/2024","4/1/2024","","Gold Subscription Fee","GOLD","","","($5.00)"
"3/28/2024","3/28/2024","4/1/2024","SPY","SPY 3/28/2024 Call $527.00","STC","1","$0.03","$2.95"
"3/27/2024","3/27/2024","3/28/2024","SPY","SPY 3/28/2024 Call $527.00","BTO","1","$0.04","($4.03)"
"3/26/2024","3/26/2024","3/27/2024","SPY","Option Expiration for SPY 3/26/2024 Call $522.00","OEXP","5S","",""
"3/26/2024","3/26/2024","3/27/2024","SPY","SPY 3/26/2024 Call $522.00","BTO","5","$0.42","($210.15)"
"3/25/2024","3/25/2024","3/26/2024","NVDA","NVDA 3/28/2024 Put $897.50","STC","1","$2.10","$209.95"
